City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Tuktoyaktuk,CA,2022-04-30 16:17:18,69.4541,-133.0374,24.8,80,20,8.05
165,Lensk,RU,2022-04-30 16:17:18,60.7253,114.9278,37.26,99,100,7.31
166,Biltine,TD,2022-04-30 16:17:18,14.5333,20.9167,105.37,6,100,6.93
167,Kropotkin,RU,2022-04-30 16:17:19,45.4375,40.5756,55.81,85,100,12.21
168,Krasnyy Yar,RU,2022-04-30 16:17:19,46.5331,48.3456,58.93,55,23,7.83
169,Sioux Lookout,CA,2022-04-30 16:15:33,50.1001,-91.917,53.67,32,75,8.05
170,Conceicao Do Castelo,BR,2022-04-30 16:17:20,-20.3683,-41.2439,78.64,48,4,2.42
171,Porto Novo,BJ,2022-04-30 16:17:20,6.4965,2.6036,87.62,66,92,8.68
172,Richards Bay,ZA,2022-04-30 16:17:21,-28.783,32.0377,68.5,72,77,12.59
173,Igarka,RU,2022-04-30 16:17:21,67.4667,86.5833,16.83,93,87,8.66
174,Mahebourg,MU,2022-04-30 16:17:21,-20.4081,57.7,77.29,83,40,5.75
175,Buchanan,LR,2022-04-30 16:17:22,5.8808,-10.0467,84.22,73,73,7.25
176,Dargaville,NZ,2022-04-30 16:17:22,-35.9333,173.8833,53.87,93,2,3.58
177,Upington,ZA,2022-04-30 16:17:23,-28.4478,21.2561,66.58,30,0,5.75
178,Palana,RU,2022-04-30 16:17:23,59.1167,159.9667,24.21,89,7,3.76
179,Caravelas,BR,2022-04-30 16:17:23,-17.7125,-39.2481,83.21,58,11,7.87
180,Naze,JP,2022-04-30 16:17:24,28.3667,129.4833,65.32,78,55,8.84
181,Yellowknife,CA,2022-04-30 16:17:24,62.456,-114.3525,25.32,63,0,8.01
182,Surt,LY,2022-04-30 16:17:25,31.2089,16.5887,68.05,67,88,19.39
183,Lebu,CL,2022-04-30 16:17:25,-37.6167,-73.65,53.8,59,0,13.22
184,Ashti,IN,2022-04-30 16:17:26,19.3833,76.2333,97.34,14,8,20.2
185,Shimanovsk,RU,2022-04-30 16:17:26,52.0,127.7,38.57,49,99,9.17
186,Longyearbyen,SJ,2022-04-30 16:17:26,78.2186,15.6401,13.84,57,20,4.61
187,Keuruu,FI,2022-04-30 16:17:27,62.2667,24.7,44.78,69,100,8.48
188,Saskylakh,RU,2022-04-30 16:17:27,71.9167,114.0833,14.34,93,100,15.95
189,Guerrero Negro,MX,2022-04-30 16:16:38,27.9769,-114.0611,63.46,68,47,12.68
190,Esperance,AU,2022-04-30 16:17:28,-33.8667,121.9,55.24,79,0,7.74
191,Zarubino,RU,2022-04-30 16:17:28,42.63,131.0922,40.91,75,26,9.06
192,Daru,PG,2022-04-30 16:17:28,-9.0763,143.2092,78.84,89,100,12.8
193,Alyangula,AU,2022-04-30 16:17:29,-13.8483,136.4192,73.27,94,66,0.0
194,Curuca,BR,2022-04-30 16:17:29,-0.7289,-47.8481,81.72,82,88,5.75
